Namespace(arch='resnet18', batch_size=64, ckpt=None, data_dir='/home/aamich/fall21/CycleGAN_pix2pix/MNIST', dataset='MNIST', epochs=500, exp_name='train_MNIST', in_channel=1, lr=0.5, method='SupCon', momentum=0.9, normalize=False, num_classes=10, print_freq=100, results_dir='/home/aamich/fall21/SSD', save_freq=1, seed=12345, size=28, temperature=0.5, training_mode='SimCLR', warmup=True, weight_decay=0.0001)
Epoch 373, validation accuracy 95.89999999999999, best_prec 96.68
Epoch 374, validation accuracy 95.81, best_prec 96.68
Epoch 375, validation accuracy 95.1, best_prec 96.68
Epoch 376, validation accuracy 96.04000000000002, best_prec 96.68
Epoch 377, validation accuracy 95.56000000000002, best_prec 96.68
Epoch 378, validation accuracy 95.88000000000001, best_prec 96.68
Epoch 379, validation accuracy 96.0, best_prec 96.68
Epoch 380, validation accuracy 95.87999999999998, best_prec 96.68
Epoch 381, validation accuracy 96.09, best_prec 96.68
Epoch 382, validation accuracy 96.19, best_prec 96.68
Epoch 383, validation accuracy 95.99, best_prec 96.68
Epoch 384, validation accuracy 95.68999999999998, best_prec 96.68
Epoch 385, validation accuracy 95.77, best_prec 96.68
Epoch 386, validation accuracy 95.74000000000001, best_prec 96.68
Epoch 387, validation accuracy 96.05, best_prec 96.68
Epoch 388, validation accuracy 95.77, best_prec 96.68
Epoch 389, validation accuracy 96.12, best_prec 96.68
Epoch 390, validation accuracy 96.13, best_prec 96.68
Epoch 391, validation accuracy 96.12, best_prec 96.68
Epoch 392, validation accuracy 95.79, best_prec 96.68
Epoch 393, validation accuracy 95.62000000000002, best_prec 96.68
Epoch 394, validation accuracy 95.67, best_prec 96.68
Epoch 395, validation accuracy 96.26000000000002, best_prec 96.68
Epoch 396, validation accuracy 95.89999999999999, best_prec 96.68
Epoch 397, validation accuracy 95.87, best_prec 96.68
Epoch 398, validation accuracy 96.06, best_prec 96.68
Epoch 399, validation accuracy 96.00000000000001, best_prec 96.68
Epoch 400, validation accuracy 96.15000000000002, best_prec 96.68
Epoch 401, validation accuracy 96.06, best_prec 96.68
Epoch 402, validation accuracy 95.91000000000001, best_prec 96.68
Epoch 403, validation accuracy 96.13, best_prec 96.68
Epoch 404, validation accuracy 95.74000000000001, best_prec 96.68
Epoch 405, validation accuracy 95.55999999999999, best_prec 96.68
Epoch 406, validation accuracy 96.43, best_prec 96.68
Epoch 407, validation accuracy 96.32, best_prec 96.68
Epoch 408, validation accuracy 96.25999999999999, best_prec 96.68
Epoch 409, validation accuracy 95.82000000000001, best_prec 96.68
Epoch 410, validation accuracy 96.49000000000001, best_prec 96.68
Epoch 411, validation accuracy 95.97, best_prec 96.68
Epoch 412, validation accuracy 96.06, best_prec 96.68
Epoch 413, validation accuracy 95.86, best_prec 96.68
Epoch 414, validation accuracy 96.48999999999998, best_prec 96.68
Epoch 415, validation accuracy 95.91000000000001, best_prec 96.68
Epoch 416, validation accuracy 96.15, best_prec 96.68
Epoch 417, validation accuracy 95.93, best_prec 96.68
Epoch 418, validation accuracy 95.99, best_prec 96.68
Epoch 419, validation accuracy 96.33, best_prec 96.68
